,date,place_cd,race_no,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
91,2021-7-19,15,7,6.73,6.8,6.74,6.86,6.76,6.64,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.08,0.14,0.15,0.02,0.01,0.02,1,6,2,3,4,5,晴,30.0,15,4.0,24.0,4.0
92,2021-7-19,15,8,6.66,6.7,6.79,6.65,6.77,6.75,0.0,0.0,-0.5,-0.5,-0.5,-0.5,0.03,0.11,0.16,0.14,0.07,0.19,1,2,3,4,5,6,晴,30.0,15,3.0,24.0,3.0
93,2021-7-19,15,9,6.77,6.81,6.75,6.79,6.77,6.81,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.31,0.33,0.18,0.09,0.11,0.11,1,2,3,4,5,6,晴,30.0,15,3.0,24.0,3.0
94,2021-7-19,15,10,6.72,6.72,6.69,6.67,6.72,6.69,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.14,0.08,0.08,-0.01,0.03,0.18,1,2,3,4,5,6,晴,30.0,15,2.0,24.0,2.0
95,2021-7-19,15,11,6.71,6.71,6.65,6.61,6.73,6.77,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.07,0.07,0.32,0.05,0.08,0.17,1,2,3,4,5,6,晴,29.0,15,2.0,24.0,2.0
96,2021-7-19,15,12,6.59,6.67,6.69,6.7,6.75,6.8,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.12,0.19,0.13,0.05,0.06,0.11,1,2,3,4,5,6,晴,27.0,15,2.0,24.0,2.0
97,2021-7-19,17,1,6.73,6.7,6.72,6.8,6.71,6.74,-0.5,-0.5,0.0,-0.5,0.5,0.0,0.19,0.09,0.12,0.33,0.21,0.19,1,2,3,4,6,5,晴,30.0,13,2.0,26.0,2.0
98,2021-7-19,17,2,6.71,6.71,6.73,6.72,6.76,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.16,0.19,0.18,0.19,0.22,0.16,1,2,3,4,5,6,晴,28.0,17,0.0,25.0,1.0
99,2021-7-19,17,3,6.75,6.78,6.73,6.74,6.7,6.76,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.08,0.23,-0.02,0.29,-0.04,0.09,1,2,5,3,6,4,晴,29.0,17,0.0,25.0,1.0
100,2021-7-19,17,4,6.82,6.7,6.75,6.78,6.68,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.29,0.34,0.43,0.16,0.02,0.07,1,2,3,4,5,6,晴,29.0,17,0.0,25.0,1.0
101,2021-7-19,17,5,6.75,6.78,6.75,6.75,6.77,6.72,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.03,0.37,0.03,0.16,0.17,0.23,1,2,3,4,5,6,晴,29.0,13,1.0,25.0,1.0
102,2021-7-19,17,6,6.73,6.82,6.8,6.76,6.79,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,-0.07,-0.08,0.17,0.17,0.03,0.12,1,2,3,4,5,6,晴,30.0,17,0.0,25.0,1.0
103,2021-7-19,17,7,6.73,6.66,6.72,6.74,6.73,6.76,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.24,0.47,0.17,0.33,0.14,0.35,1,4,5,2,6,3,晴,31.0,13,2.0,25.0,2.0
104,2021-7-19,17,8,6.76,6.74,6.71,6.88,6.83,6.79,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.03,0.14,0.19,0.22,0.1,0.08,1,2,3,4,5,6,晴,30.0,13,3.0,25.0,3.0
105,2021-7-19,17,9,6.79,6.73,6.78,6.73,6.69,6.72,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,0.04,-0.08,-0.01,0.07,0.1,1,2,3,4,5,6,晴,31.0,13,3.0,26.0,3.0
